Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB01GE00S900,2011.06,51784,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2011,6
SNEQ.SG03AB01GE00S900,2011.09,51106,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2011,9
SNEQ.SG03AB01GE00S900,2011.12,56357,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2011,12
SNEQ.SG03AB01GE00S900,2012.03,54022,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,3
SNEQ.SG03AB01GE00S900,2012.06,53708,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,6
SNEQ.SG03AB01GE00S900,2012.09,51768,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,9
SNEQ.SG03AB01GE00S900,2012.12,56843,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,12
SNEQ.SG03AB01GE00S900,2013.03,55607,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,3
SNEQ.SG03AB01GE00S900,2013.06,54965,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,6
SNEQ.SG03AB01GE00S900,2013.09,55206,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,9
SNEQ.SG03AB01GE00S900,2013.12,62479,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,12
SNEQ.SG03AB01GE00S900,2014.03,60271,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2014,3
SNEQ.SG03AB01GE00S900,2014.06,59172,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2014,6
SNEQ.SG03AB01GE00S900,2014.09,57922,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2014,9
SNEQ.SG03AB01GE00S900,2014.12,63722,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2014,12
SNEQ.SG03AB01GE00S900,2015.03,62101,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2015,3
SNEQ.SG03AB01GE00S900,2015.06,62128,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2015,6
SNEQ.SG03AB01GE00S900,2015.09,61057,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2015,9
SNEQ.SG03AB01GE00S900,2015.12,66694,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2015,12
SNEQ.SG03AB01GE00S900,2016.03,65691,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2016,3
SNEQ.SG03AB01GE00S900,2016.06,65469,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB01GE00S900,2016.09,64555,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB01GE00S900,2016.12,71211,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB01GE00S900,2017.03,70318,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG03AB01GE00S900,2017.06,69681,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG03AB01GE00S900,2017.09,69354,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG03AB01GE00S900,2017.12,77181,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG03AB01GE00S900,2018.03,74534,REVISED,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2018,3
